subject,num_trials,v_norm_mean,v_norm_median,v_norm_std,a_0_mean,a_0_median,a_0_std,w_s_eff_mean,w_s_eff_median,w_s_eff_std,t_0_mean,t_0_median,t_0_std,alpha_gain_mean,alpha_gain_median,alpha_gain_std,beta_val_mean,beta_val_median,beta_val_std
146,288,0.6625034213066101,0.6571521162986755,0.1625988483428955,1.5059938430786133,1.4844014644622803,0.23593942821025848,0.8805032968521118,0.9013862609863281,0.17754369974136353,0.31437841057777405,0.31496450304985046,0.09708937257528305,0.7510777115821838,0.7527194619178772,0.06927204877138138,0.005479452200233936,-0.0003362389688845724,0.2343221753835678
147,288,0.6666203141212463,0.6800742149353027,0.16180501878261566,1.497670292854309,1.4760408401489258,0.23480843007564545,0.8757315874099731,0.8899756073951721,0.1644979566335678,0.3086429238319397,0.29851439595222473,0.0946473553776741,0.7520362734794617,0.7562657594680786,0.07173336297273636,0.011903556995093822,0.023836543783545494,0.23009546101093292
148,288,0.6734167337417603,0.6993618607521057,0.16518354415893555,1.4917404651641846,1.4736076593399048,0.24074643850326538,0.8769524097442627,0.8787393569946289,0.17246386408805847,0.30927345156669617,0.30019497871398926,0.09522133320569992,0.7479826807975769,0.7456783056259155,0.06940798461437225,0.00331327086314559,0.0006361971609294415,0.23880505561828613
149,288,0.670258104801178,0.6861737370491028,0.16470398008823395,1.4959160089492798,1.477615237236023,0.23803387582302094,0.880581796169281,0.8844998478889465,0.17048421502113342,0.3033241629600525,0.2926327884197235,0.09357611835002899,0.7517586946487427,0.753761887550354,0.06958270072937012,0.0064092460088431835,0.009190374054014683,0.24381005764007568
151,288,0.665330171585083,0.6675146818161011,0.1656704545021057,1.4922659397125244,1.47919499874115,0.2362867146730423,0.8772323131561279,0.8838335871696472,0.17047691345214844,0.3095822036266327,0.31084519624710083,0.09272072464227676,0.7492716312408447,0.7426702976226807,0.06959283351898193,0.014533471316099167,0.03765377402305603,0.23859289288520813
154,251,0.6612693071365356,0.6648475527763367,0.1635172963142395,1.4976139068603516,1.4879555702209473,0.22422240674495697,0.8844727873802185,0.8962855339050293,0.16698917746543884,0.30540192127227783,0.296562522649765,0.0965578481554985,0.7499262690544128,0.7452681660652161,0.06935343146324158,0.010413997806608677,0.016356753185391426,0.24159666895866394
155,288,0.667415201663971,0.6818245053291321,0.16836759448051453,1.4990077018737793,1.4790650606155396,0.2403859943151474,0.8825260996818542,0.896127462387085,0.16794630885124207,0.3120983839035034,0.31414148211479187,0.09630747139453888,0.7496142983436584,0.7464284896850586,0.06964126974344254,-0.013737347908318043,-0.031627826392650604,0.23569433391094208
156,288,0.6546048521995544,0.653564989566803,0.16454190015792847,1.4899179935455322,1.4661887884140015,0.23593640327453613,0.888593316078186,0.9074856042861938,0.16707560420036316,0.3155096471309662,0.31477320194244385,0.0958164632320404,0.7518148422241211,0.7491534352302551,0.07077986747026443,-0.0032715259585529566,0.0031865008641034365,0.23911809921264648
159,254,0.6570062637329102,0.6540241241455078,0.16853582859039307,1.4939385652542114,1.4783047437667847,0.24279233813285828,0.8903607726097107,0.9109772443771362,0.1712462157011032,0.31295138597488403,0.3015078008174896,0.09744837135076523,0.7501261234283447,0.747992992401123,0.06885730475187302,0.010074653662741184,0.006605036556720734,0.2376249134540558
160,288,0.6724284887313843,0.681654155254364,0.16580483317375183,1.4872909784317017,1.4667149782180786,0.23523424565792084,0.8830316662788391,0.896202027797699,0.1735554039478302,0.30978935956954956,0.30753380060195923,0.09469540417194366,0.7544834613800049,0.7626838684082031,0.0697731077671051,0.023496000096201897,0.058502960950136185,0.23913371562957764
162,288,0.6602134108543396,0.6518470048904419,0.16468597948551178,1.4893944263458252,1.4760035276412964,0.23310980200767517,0.8717868328094482,0.8790409564971924,0.17027266323566437,0.3043123781681061,0.29502686858177185,0.09706787019968033,0.7506290078163147,0.7503179907798767,0.0708281546831131,0.0014372081495821476,-0.016557374969124794,0.22964854538440704
164,288,0.6567878127098083,0.6571481823921204,0.16530083119869232,1.5148415565490723,1.519469141960144,0.23537153005599976,0.8817452192306519,0.8794847130775452,0.1730288416147232,0.31098097562789917,0.30444663763046265,0.09713397175073624,0.7544752359390259,0.7622718811035156,0.06976450979709625,0.014422750100493431,0.032539188861846924,0.23177112638950348
165,288,0.6553037762641907,0.6460310220718384,0.16214120388031006,1.4912294149398804,1.4711030721664429,0.2369890958070755,0.8859837651252747,0.8852565288543701,0.17072132229804993,0.30736735463142395,0.30172479152679443,0.09577267616987228,0.7450494766235352,0.7367749810218811,0.07165390253067017,-0.009185122326016426,-0.012193266302347183,0.23490118980407715
166,288,0.669189453125,0.6743766665458679,0.16685371100902557,1.5108236074447632,1.5207635164260864,0.2315577268600464,0.8780799508094788,0.8767902851104736,0.17061427235603333,0.3151732385158539,0.32182183861732483,0.09435596317052841,0.7458727955818176,0.7395483255386353,0.06844069808721542,0.007780130486935377,-0.0028176135383546352,0.24143263697624207
167,288,0.6647088527679443,0.6519619822502136,0.1663210093975067,1.5004938840866089,1.4996672868728638,0.23705075681209564,0.8886312246322632,0.8967660069465637,0.16750910878181458,0.31432485580444336,0.3063972592353821,0.09474845230579376,0.7506426572799683,0.7501208186149597,0.06987512111663818,0.008789117448031902,-0.005783499218523502,0.22810408473014832
